up	551.7
use	308.6
used	277.2
us	262.1
under	237.7
University	165.3
upon	159.7
using	151.2
until	128.3
United	122.4
U.S.	104.1
usually	80.21
understand	69.36
understanding	64.07
union	51.95
unit	39.77
useful	39.40
user	37.09
uses	34.98
unless	33.80
upper	32.90
urban	31.72
understood	30.87
units	29.64
unique	24.71
users	24.38
un	23.91
und	22.30
u	22.17
usual	22.05
universal	22.03
unable	19.98
unlike	19.77
unknown	18.40
USA	18.23
ultimately	17.82
UK	17.08
underlying	16.61
universe	16.11
Unfortunately	14.70
unity	14.69
uncle	14.61
uniform	13.81
ultimate	13.59
unusual	13.34
utility	11.73
uncertainty	10.74
unto	10.65
universities	10.22
unlikely	9.883
unemployment	9.202
usage	9.063
unions	9.008
unconscious	7.798
update	7.539
unexpected	7.402
uncertain	7.346
undertaken	7.219
upset	6.973
undoubtedly	6.850
urged	6.746
upward	6.661
U.	6.495
underground	6.176
une	6.059
unnecessary	5.982
urine	5.672
utterly	5.334
uncomfortable	5.265
useless	5.242
undertake	5.160
unpublished	5.154
unhappy	5.143
unfortunate	5.101
um	5.035
ugly	4.932
unified	4.900
urge	4.853
updated	4.721
urgent	4.594
utilized	4.538
upstairs	4.536
unstable	4.402
undertaking	4.369
utilization	4.315
una	4.299
unclear	4.298
unfair	4.227
ups	4.102
utter	4.092
upright	4.078
uncommon	4.069
undergo	3.967
understands	3.956
underneath	3.929
urinary	3.911
unpleasant	3.705
unwilling	3.688
unaware	3.604
utmost	3.584
unlimited	3.510
utilities	3.488
ultrasound	3.452
URL	3.374
Utah	3.307
undermine	3.292
unemployed	3.275
unprecedented	3.263
unfamiliar	3.258
universally	3.255
undergraduate	3.228
utilize	3.218
unrelated	3.164
unchanged	3.091
uptake	3.085
uttered	3.078
unsuccessful	3.072
usefulness	3.029
unequal	3.021
undergoing	2.972
unjust	2.935
unusually	2.928
updates	2.892
unacceptable	2.883
unreasonable	2.852
uneasy	2.807
understandings	2.796
uh	2.772
UV	2.747
utterance	2.724
unite	2.721
Univ	2.650
ut	2.640
unwanted	2.634
upwards	2.631
understandable	2.630
Ukraine	2.619
USSR	2.603
urgency	2.591
upstream	2.590
undesirable	2.558
urging	2.552
unilateral	2.530
umbrella	2.476
unpredictable	2.463
uniquely	2.446
uniformly	2.432
unseen	2.430
uncovered	2.405
utilizing	2.378
undermined	2.374
upheld	2.364
ultra	2.363
unlawful	2.341
undergone	2.323
unexpectedly	2.297
unification	2.294
uniformity	2.287
U.S.C.	2.279
uniforms	2.271
UNIX	2.252
upside	2.211
uneven	2.209
undertook	2.206
Uganda	2.192
uncertainties	2.188
unfolding	2.132
uterus	2.080
unconsciously	2.071
unmarried	2.062
unnatural	2.062
underwent	2.034
unfinished	2.032
ubiquitous	2.029
U.S.A.	2.022
uterine	1.985
uprising	1.982
upgrade	1.949
unrest	1.933
ul	1.900
unauthorized	1.895
utopian	1.872
updating	1.866
unconditional	1.866
uniqueness	1.835
utterances	1.832
undue	1.781
unrealistic	1.778
unpaid	1.748
undo	1.744
uranium	1.738
unavailable	1.721
unavoidable	1.721
upcoming	1.718
urges	1.707
U.K.	1.698
unsure	1.696
unaffected	1.695
unworthy	1.672
unresolved	1.665
ulcers	1.647
unreliable	1.646
utilitarian	1.644
underwater	1.622
Ukrainian	1.617
unconstitutional	1.596
unitary	1.590
unsatisfactory	1.584
universality	1.581
uncover	1.554
uphold	1.544
utopia	1.544
unanimous	1.544
unhealthy	1.535
unused	1.533
unimportant	1.530
unnoticed	1.512
urn	1.502
urbanization	1.482
ulcer	1.480
unfolded	1.480
UNESCO	1.469
undermining	1.466
underway	1.465
untouched	1.459
underlined	1.452
Ulster	1.440
unfold	1.422
uncontrolled	1.405
ultraviolet	1.404
unifying	1.400
usable	1.389
untreated	1.388
unskilled	1.377
unsafe	1.357
Uruguay	1.356
unpopular	1.355
unbearable	1.346
unmistakable	1.341
Ulysses	1.338
unfavorable	1.327
underwear	1.315
unofficial	1.312
Unwin	1.298
ushered	1.297
undergoes	1.273
unanimously	1.260
unbroken	1.259
unintended	1.257
underworld	1.254
undertakings	1.252
undisturbed	1.250
Urbana	1.249
unfit	1.248
U.N.	1.246
upgrading	1.245
UML	1.238
underestimated	1.229
ui	1.223
usability	1.206
upbringing	1.195
unlocked	1.193
unison	1.190
