very	315.9
value	128.0
view	104.1
various	83.74
values	74.19
v.	72.22
voice	65.24
v	50.11
volume	45.56
vol	38.89
variety	36.33
visit	33.49
violence	32.72
version	31.44
village	30.97
vision	30.52
van	30.14
views	28.68
variable	28.45
variables	26.24
visual	25.44
via	23.74
valley	20.69
video	18.85
visible	18.55
von	18.26
vast	16.92
Virginia	16.83
versus	16.42
variation	16.27
vote	16.25
valuable	16.20
viewed	15.02
vehicle	14.45
virtue	14.33
vice	14.10
victory	14.09
vary	14.07
vertical	13.97
violent	13.68
vi	13.50
vital	13.43
victims	13.41
victim	13.34
visited	12.80
velocity	12.74
valid	12.25
voices	12.23
virtually	12.17
virtual	12.15
vessels	11.82
variations	11.72
voltage	11.34
vector	11.06
vessel	10.94
Vietnam	10.85
virus	10.67
verse	10.41
visitors	10.26
ve	10.21
verbal	9.863
villages	9.827
versions	9.784
validity	9.705
varied	9.647
vs.	9.261
vii	9.198
varying	9.066
voluntary	8.872
volumes	8.786
venture	8.507
vehicles	8.500
visits	8.456
visiting	8.270
void	8.171
verb	8.115
voting	8.011
variance	7.991
vulnerable	7.988
violation	7.504
varies	7.304
vegetables	7.105
vitamin	7.090
viii	7.028
vocabulary	6.910
virgin	6.897
votes	6.689
vols	6.658
Victoria	6.654
voters	6.626
viewing	6.509
valve	6.440
valued	6.411
vascular	6.269
varieties	6.151
vain	6.078
Victor	5.918
volunteers	5.844
virtues	5.798
vein	5.734
visitor	5.700
Vienna	5.644
vague	5.624
variability	5.508
vegetation	5.431
voyage	5.414
vacuum	5.371
verses	5.349
volunteer	5.090
visions	5.017
Victorian	4.876
vis	4.859
VA	4.793
vegetable	4.731
validation	4.606
viable	4.593
Verlag	4.577
vacation	4.515
violations	4.463
vocal	4.455
verify	4.409
verbs	4.370
voted	4.352
ventricular	4.348
veins	4.340
vectors	4.281
vitro	4.275
vulnerability	4.262
viral	4.222
veterans	4.220
Venice	4.177
valuation	4.075
vivid	4.024
violated	3.996
vigorous	3.969
Vincent	3.874
Vietnamese	3.855
verification	3.790
viruses	3.745
viewpoint	3.740
variant	3.703
viewer	3.684
ventilation	3.683
vanished	3.604
vicinity	3.590
vendor	3.536
vivo	3.505
villa	3.487
venous	3.432
veil	3.423
vocational	3.358
villagers	3.325
vapor	3.307
•	3.286
verdict	3.252
versa	3.248
vaccine	3.238
vendors	3.224
Venus	3.217
veteran	3.180
vomiting	3.137
viewers	3.122
vs	3.092
visibility	3.066
volatile	3.033
variants	2.981
vibration	2.981
valleys	2.929
ventures	2.897
violate	2.892
vicious	2.850
Vatican	2.732
virtuous	2.705
violet	2.670
vanity	2.648
vengeance	2.619
voluntarily	2.609
viz	2.595
viscosity	2.580
volatility	2.559
visualization	2.550
vitality	2.548
verified	2.544
vested	2.508
Vermont	2.490
vaginal	2.480
Vegas	2.456
visa	2.449
var	2.446
visually	2.424
vigorously	2.421
velvet	2.415
Vancouver	2.412
volcanic	2.390
violently	2.375
vacant	2.365
vintage	2.363
vitamins	2.357
valves	2.326
videos	2.294
vernacular	2.272
vowel	2.267
voter	2.263
vertically	2.175
victories	2.172
vaguely	2.154
viability	2.147
vine	2.123
ventured	2.121
voiced	2.097
vulgar	2.047
victorious	2.028
venue	2.007
Venezuela	1.974
vertex	1.964
Vera	1.951
violin	1.945
vista	1.912
Vernon	1.910
vinegar	1.888
velocities	1.880
vibrations	1.863
vastly	1.859
veto	1.857
vent	1.842
Viking	1.824
vocation	1.792
validated	1.783
violating	1.779
validate	1.772
vividly	1.769
verge	1.766
vines	1.763
volunteered	1.759
vault	1.747
venerable	1.737
visualize	1.734
veterinary	1.715
vow	1.706
vie	1.700
vows	1.691
Valentine	1.686
vibrant	1.684
visionary	1.677
Vladimir	1.672
ventral	1.662
ventricle	1.633
vertebral	1.626
vase	1.622
Virgil	1.611
Venetian	1.602
vagina	1.596
Val	1.593
vet	1.587
variously	1.578
vat	1.573
vertices	1.557
vaccines	1.546
vaccination	1.513
visibly	1.498
volcano	1.494
vowels	1.488
vantage	1.470
vices	1.459
vigor	1.458
viewpoints	1.451
vanilla	1.425
vita	1.420
